Date,Residual
2023-08-27,-0.3660714285714306
2023-08-28,-0.539285714285711
2023-08-29,-0.3946428571428555
2023-08-30,-0.3910714285714221
2023-08-31,-0.36071428571428044
2023-09-01,0.03928571428571104
2023-09-02,-0.42678571428569967
2023-09-03,-0.014285714285719564
2023-09-05,-0.26250000000000284
2023-09-06,0.2142857142857082
2023-09-07,0.8946428571428555
2023-09-08,0.5785714285714363
2023-09-09,0.2482142857142975
2023-09-10,0.21785714285714164
2023-09-11,0.7982142857142804
2023-09-12,0.8285714285714221
2023-09-13,0.6464285714285722
2023-09-15,0.11071428571429465
2023-09-16,-0.16428571428571104
2023-09-17,-0.2964285714285779
2023-09-18,-0.14464285714285552
2023-09-19,-0.2857142857142776
2023-09-20,-0.4375
2023-09-21,-0.26428571428571956
2023-09-22,-0.5214285714285722
